,fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
1131,fig-000004,1,Basic Figure,4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1132,fig-004387,1,"Man - Blue Torso, Black Legs",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1133,fig-004388,1,"Woman - White Torso, Red Legs",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1134,fig-004469,1,"Woman - Red Torso, Blue Legs",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1135,fig-005117,1,"Man - Red Torso, Blue Legs, Light grey Cowboy Head",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1136,fig-005119,1,"Woman - Blue Torso, White Legs, Black tails",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1137,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,5374,7835-1,Manual Road Crossing,1985,235
1138,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,5748,7720-1,"Diesel Freight Train Set, battery",1980,235
1139,fig-000285,1,"Man, Blue Shirt, Blue Legs, Red Hard Hat",4,5748,7720-1,"Diesel Freight Train Set, battery",1980,235
1140,fig-000733,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,5748,7720-1,"Diesel Freight Train Set, battery",1980,235
1141,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,6125,7715-1,Push-Along Passenger Steam Train,1985,235
1142,fig-000733,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,6125,7715-1,Push-Along Passenger Steam Train,1985,235
1143,fig-004388,1,"Woman - White Torso, Red Legs",4,6125,7715-1,Push-Along Passenger Steam Train,1985,235
1144,fig-004974,1,"Man - Black Torso, Blue Legs, Brown Hair",4,6125,7715-1,Push-Along Passenger Steam Train,1985,235
1145,fig-005105,1,"Man - Blue Torso, Light grey Legs, Black Hair",4,6125,7715-1,Push-Along Passenger Steam Train,1985,235
1146,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,6229,7725-1,Electric Passenger Train,1981,234
1147,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,7750,7822-1,Railway Station,1980,235
1148,fig-005101,1,"Woman - Red Torso, Blue Legs, Black Tails",4,7750,7822-1,Railway Station,1980,235
1149,fig-000285,1,"Man, Blue Shirt, Blue Legs, Red Hard Hat",4,7750,7822-1,Railway Station,1980,235
1150,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,8561,7824-1,Railway Station,1983,235
1151,fig-004401,1,"Woman - Blue Torso, Red Legs",4,8561,7824-1,Railway Station,1983,235
1152,fig-005110,1,"Chef - White Torso, Light Gray Legs (3626b Head)",4,8561,7824-1,Railway Station,1983,235
1153,fig-000285,1,"Man, Blue Shirt, Blue Legs, Red Hard Hat",4,8561,7824-1,Railway Station,1983,235
1154,fig-000733,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,8561,7824-1,Railway Station,1983,235
1155,fig-005106,1,"Man - Black Jacket, Blue Legs, Blue Hat",4,8561,7824-1,Railway Station,1983,235
1156,fig-005107,1,"Woman -Blue Jacket, Blue Legs, Red Hair",4,8561,7824-1,Railway Station,1983,235
